QTL_ID	Symbol	Chromosome	Center_cM	Range_cM	Cood_A_bp	Coord_B_bp	Trait_Name	Significance	FlankMrkA2	FlankMrkA1	FlankMrkB1	FlankMrkB2
165349	RACPERM	23	31.09	31.09-31.09	22496767	22496807	racing performance	Significant				
165352	RACPERM	25					racing performance	Significant				
57449	RACPERM	28	32.83	32.83-32.83	17405057	17405097	racing performance	Suggestive				
165322	LTEARN	28					Lifetime earnings	Significant				
165323	LTEARN	28					Lifetime earnings	Significant				
138685	RACPERM	29	59.88	59.88-59.88	17580577	17580617	racing performance	Significant				
138686	RACPERM	29	59.89	59.89-59.89	17580972	17581012	racing performance	Significant				
165333	RACPERM	29	83.56	83.56-83.56	24530417	24530457	racing performance	Significant				
57450	RACPERM	30	20.39	20.39-20.39	3869316	3869356	racing performance	Suggestive				
165348	RACPERM	31					racing performance	Significant				
