Run,Assay Type,BioProject,BioSample,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,Alias,ENA_CHECKLIST,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,sample_name,SRA_accession,title,AvgSpotLen,Bases,Bytes,MBases,MBytes,AssemblyName,ENA-FIRST-PUBLIC,ENA-LAST-UPDATE,Sample name,Registration number,Period,Age (years ago) ,Site,latitude,longitude,Country,Species,Sex
ERR3223718,WGS,PRJEB31613,SAMEA5408152,CENTRE FOR GEOGENETICS,public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2019-03-27,2019-03-14,ERX3251181,Illumina HiSeq 2500,unspecified,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2019-03-28T00:00:00Z,SAMEA5408152,ERP114186,ArzhanII_Rus9_2500,ERC000011,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2019-03-27T17:05:16Z,2019-03-08T10:08:32Z,public,ERS3213462,ERS3213462,ArzhanII_Rus9_2500,74.0,5371035.0,2277788.0,5.0,2.0,,,,ArzhanII_Rus9_2500,CGG_1_019160,Iron Age,2500,Arzhan II,52.059,93.604,Russia,horse,male
ERR3223719,WGS,PRJEB31613,SAMEA5408153,CENTRE FOR GEOGENETICS,public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2019-03-27,2019-03-14,ERX3251182,Illumina HiSeq 2500,unspecified,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2019-03-28T00:00:00Z,SAMEA5408153,ERP114186,AugustaRaurica_JG160_1817,ERC000011,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2019-03-27T17:05:16Z,2019-03-08T10:08:32Z,public,ERS3213463,ERS3213463,AugustaRaurica_JG160_1817,60.0,1825818.0,995464.0,1.0,0.0,,,,AugustaRaurica_JG160_1817,CGG_1_019246,Roman period,1717-1917,Augusta Raurica - Insula 8,47.533,7.722,Switzerland,horse,male
ERR3223720,WGS,PRJEB31613,SAMEA5408154,CENTRE FOR GEOGENETICS,public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2019-03-27,2019-03-14,ERX3251183,Illumina HiSeq 2500,unspecified,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2019-03-28T00:00:00Z,SAMEA5408154,ERP114186,AugustaRauricaSchmidmatt_NBxK9279_1717,ERC000011,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2019-03-27T17:05:16Z,2019-03-08T10:08:32Z,public,ERS3213464,ERS3213464,AugustaRauricaSchmidmatt_NBxK9279_1717,55.0,9340.0,87652.0,0.0,0.0,,,,AugustaRauricaSchmidmatt_NBxK9279_1717,CGG_1_020505,Roman period,1617-1817,Augusta Raurica - Schmidmatt,47.536,7.722,Switzerland,horse,male
ERR3223721,WGS,PRJEB31613,SAMEA5408155,CENTRE FOR GEOGENETICS,public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2019-03-27,2019-03-14,ERX3251184,Illumina HiSeq 2500,unspecified,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2019-03-28T00:00:00Z,SAMEA5408155,ERP114186,AugustaRauricaSchmidmatt_NBxP9261_1782,ERC000011,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2019-03-27T17:05:16Z,2019-03-08T10:08:32Z,public,ERS3213465,ERS3213465,AugustaRauricaSchmidmatt_NBxP9261_1782,48.0,18029.0,93058.0,0.0,0.0,,,,AugustaRauricaSchmidmatt_NBxP9261_1782,CGG_1_020506,Roman period,1677-1887,Augusta Raurica - Schmidmatt,47.536,7.722,Switzerland,horse,male
ERR3223722,WGS,PRJEB31613,SAMEA5408156,CENTRE FOR GEOGENETICS,public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2019-03-27,2019-03-14,ERX3251185,Illumina HiSeq 2500,unspecified,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2019-03-28T00:00:00Z,SAMEA5408156,ERP114186,Balagansk_Rus19_2017,ERC000011,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2019-03-27T17:05:16Z,2019-03-08T10:08:32Z,public,ERS3213466,ERS3213466,Balagansk_Rus19_2017,60.0,173836.0,165724.0,0.0,0.0,,,,Balagansk_Rus19_2017,CGG_1_019169,Iron Age,1817-2217,Balagansk,47.667,8.85,Russia,horse,male
ERR3223723,WGS,PRJEB31613,SAMEA5408157,CENTRE FOR GEOGENETICS,public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2019-03-27,2019-03-14,ERX3251186,Illumina HiSeq 2500,unspecified,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2019-03-28T00:00:00Z,SAMEA5408157,ERP114186,BapskaGradac_BAPSKA_1305,ERC000011,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2019-03-27T17:05:16Z,2019-03-08T10:08:32Z,public,ERS3213467,ERS3213467,BapskaGradac_BAPSKA_1305,57.0,24636.0,99857.0,0.0,0.0,,,,BapskaGradac_BAPSKA_1305,CGG_1_020443,Middle Ages,1305,Bapska Gradac,45.196999999999996,19.262,Croatia,horse,male
ERR3223724,WGS,PRJEB31613,SAMEA5408158,CENTRE FOR GEOGENETICS,public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2019-03-27,2019-03-14,ERX3251187,Illumina HiSeq 2500,unspecified,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2019-03-28T00:00:00Z,SAMEA5408158,ERP114186,Bateni_Rus16_3350,ERC000011,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2019-03-27T17:05:16Z,2019-03-08T10:08:32Z,public,ERS3213468,ERS3213468,Bateni_Rus16_3350,66.0,6135583.0,2669481.0,6.0,2.0,,,,Bateni_Rus16_3350,CGG_1_019166,Bronze Age,3350,Bateni,54.623999999999995,90.945,Russia,horse,male
ERR3223725,WGS,PRJEB31613,SAMEA5408159,CENTRE FOR GEOGENETICS,public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2019-03-27,2019-03-14,ERX3251188,Illumina HiSeq 2500,unspecified,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2019-03-28T00:00:00Z,SAMEA5408159,ERP114186,Beauvais_GVA122_417,ERC000011,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2019-03-27T17:05:16Z,2019-03-08T10:08:32Z,public,ERS3213469,ERS3213469,Beauvais_GVA122_417,63.0,776787.0,452210.0,0.0,0.0,,,,Beauvais_GVA122_417,CGG_1_019380,Early Modern period,317-517,"Beauvais, la Maladrerie Saint-Lazare",49.415,2.101,France,horse,male
ERR3223726,WGS,PRJEB31613,SAMEA5408160,CENTRE FOR GEOGENETICS,public,bam,ena,ena,2019-03-27,2019-03-14,ERX3251189,Illumina HiSeq 2500,unspecified,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2019-03-28T00:00:00Z,SAMEA5408160,ERP114186,Beauvais_GVA375_467,ERC000011,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2019-03-27T17:05:16Z,2019-03-08T10:08:32Z,public,ERS3213470,ERS3213470,Beauvais_GVA375_467,,,,,,,,,Beauvais_GVA375_467,CGG_1_019925,Early Modern period,417-517,"Beauvais, VIlliers-de-l'Isle Adam",49.415,2.101,France,horse,male
ERR3223727,WGS,PRJEB31613,SAMEA5408161,CENTRE FOR GEOGENETICS,public,bam,ena,ena,2019-03-27,2019-03-14,ERX3251190,Illumina HiSeq 2500,unspecified,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2019-03-28T00:00:00Z,SAMEA5408161,ERP114186,Belgheis_TrBWBX116_485,ERC000011,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2019-03-27T17:05:16Z,2019-03-08T10:08:32Z,public,ERS3213471,ERS3213471,Belgheis_TrBWBX116_485,,,,,,,,,Belgheis_TrBWBX116_485,CGG_1_019521,Early Modern period,485,Belgheis,37.042,57.472,Iran,horse,male
ERR3223728,WGS,PRJEB31613,SAMEA5408162,CENTRE FOR GEOGENETICS,public,bam,ena,ena,2019-03-27,2019-03-14,ERX3251191,Illumina HiSeq 2500,unspecified,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2019-03-28T00:00:00Z,SAMEA5408162,ERP114186,Belkaragay_NB13_CopperAge,ERC000011,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2019-03-27T17:05:16Z,2019-03-08T10:08:32Z,public,ERS3213472,ERS3213472,Belkaragay_NB13_CopperAge,,,,,,,,,Belkaragay_NB13_CopperAge,CGG_1_017005,Copper Age,-,Belkaragay,51.52,62.55,Kazakhstan,horse,male
ERR3223729,WGS,PRJEB31613,SAMEA5408163,CENTRE FOR GEOGENETICS,public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2019-03-27,2019-03-14,ERX3251192,Illumina HiSeq 2500,unspecified,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2019-03-28T00:00:00Z,SAMEA5408163,ERP114186,Belkaragay_NB15_CopperAge,ERC000011,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2019-03-27T17:05:16Z,2019-03-08T10:08:32Z,public,ERS3213473,ERS3213473,Belkaragay_NB15_CopperAge,49.0,703980.0,436206.0,0.0,0.0,,,,Belkaragay_NB15_CopperAge,CGG_1_017007,Copper Age,-,Belkaragay,51.52,62.55,Kazakhstan,horse,female
ERR3223730,WGS,PRJEB31613,SAMEA5408164,CENTRE FOR GEOGENETICS,public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2019-03-27,2019-03-14,ERX3251193,Illumina HiSeq 2500,unspecified,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2019-03-28T00:00:00Z,SAMEA5408164,ERP114186,Berufjordur_VHR102_1057,ERC000011,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2019-03-27T17:05:16Z,2019-03-08T10:08:32Z,public,ERS3213474,ERS3213474,Berufjordur_VHR102_1057,58.0,368614.0,270474.0,0.0,0.0,,,,Berufjordur_VHR102_1057,CGG_1_020961,Middle Ages,917-1217,Berufjordur,65.53,-22.116999999999997,Iceland,horse,male
ERR3223731,WGS,PRJEB31613,SAMEA5408165,CENTRE FOR GEOGENETICS,public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2019-03-27,2019-03-14,ERX3251194,Illumina HiSeq 2500,unspecified,SINGLE,RANDOM,GENOMIC,Equus asinus,ILLUMINA,2019-03-28T00:00:00Z,SAMEA5408165,ERP114186,Boinville_GVA125_1817,ERC000011,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2019-03-27T17:05:16Z,2019-03-08T11:09:38Z,public,ERS3213475,ERS3213475,Boinville_GVA125_1817,55.0,61022.0,125950.0,0.0,0.0,,,,Boinville_GVA125_1817,CGG_1_018057,Roman period,1717-1917,Boinville,49.185,5.671,France,ass,male
ERR3223732,WGS,PRJEB31613,SAMEA5408166,CENTRE FOR GEOGENETICS,public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2019-03-27,2019-03-14,ERX3251195,Illumina HiSeq 2500,unspecified,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2019-03-28T00:00:00Z,SAMEA5408166,ERP114186,Botai_A_5500,ERC000011,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2019-03-27T17:05:16Z,2019-03-08T10:08:32Z,public,ERS3213476,ERS3213476,Botai_A_5500,57.0,383893.0,272820.0,0.0,0.0,,,,Botai_A_5500,CGG_1_020181,Copper Age,5500,Botai,53.303999999999995,67.646,Kazakhstan,horse,female
ERR3223733,WGS,PRJEB31613,SAMEA5408167,CENTRE FOR GEOGENETICS,public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2019-03-27,2019-03-14,ERX3251196,Illumina HiSeq 2500,unspecified,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2019-03-28T00:00:00Z,SAMEA5408167,ERP114186,Botai_B_5500,ERC000011,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2019-03-27T17:05:16Z,2019-03-08T10:08:32Z,public,ERS3213477,ERS3213477,Botai_B_5500,55.0,1312722.0,737569.0,1.0,0.0,,,,Botai_B_5500,CGG_1_020182,Copper Age,5500,Botai,53.303999999999995,67.646,Kazakhstan,horse,female
ERR3223734,WGS,PRJEB31613,SAMEA5408168,CENTRE FOR GEOGENETICS,public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2019-03-27,2019-03-14,ERX3251197,Illumina HiSeq 2500,unspecified,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2019-03-28T00:00:00Z,SAMEA5408168,ERP114186,Botai_D2_5500,ERC000011,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2019-03-27T17:05:16Z,2019-03-08T10:08:32Z,public,ERS3213478,ERS3213478,Botai_D2_5500,52.0,24252.0,95781.0,0.0,0.0,,,,Botai_D2_5500,CGG_1_020205,Copper Age,5500,Botai,53.303999999999995,67.646,Kazakhstan,horse,female
ERR3223735,WGS,PRJEB31613,SAMEA5408169,CENTRE FOR GEOGENETICS,public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2019-03-27,2019-03-14,ERX3251198,Illumina HiSeq 2500,unspecified,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2019-03-28T00:00:00Z,SAMEA5408169,ERP114186,Botai_E_5500,ERC000011,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2019-03-27T17:05:16Z,2019-03-08T10:08:32Z,public,ERS3213479,ERS3213479,Botai_E_5500,53.0,87440.0,127240.0,0.0,0.0,,,,Botai_E_5500,CGG_1_020185,Copper Age,5500,Botai,53.303999999999995,67.646,Kazakhstan,horse,female
ERR3223736,WGS,PRJEB31613,SAMEA5408170,CENTRE FOR GEOGENETICS,public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2019-03-27,2019-03-14,ERX3251199,Illumina HiSeq 2500,unspecified,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2019-03-28T00:00:00Z,SAMEA5408170,ERP114186,Botai_N_5500,ERC000011,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2019-03-27T17:05:16Z,2019-03-08T10:08:32Z,public,ERS3213480,ERS3213480,Botai_N_5500,52.0,59565.0,113677.0,0.0,0.0,,,,Botai_N_5500,CGG_1_020194,Copper Age,5500,Botai,53.303999999999995,67.646,Kazakhstan,horse,female
ERR3223737,WGS,PRJEB31613,SAMEA5408171,CENTRE FOR GEOGENETICS,public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2019-03-27,2019-03-14,ERX3251200,Illumina HiSeq 2500,unspecified,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2019-03-28T00:00:00Z,SAMEA5408171,ERP114186,Botai_NB18_4692,ERC000011,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2019-03-27T17:05:16Z,2019-03-08T10:08:32Z,public,ERS3213481,ERS3213481,Botai_NB18_4692,52.0,63938.0,124992.0,0.0,0.0,,,,Botai_NB18_4692,CGG_1_017010,Copper Age,4692,Botai,53.303999999999995,67.646,Kazakhstan,horse,female
ERR3223738,WGS,PRJEB31613,SAMEA5408172,CENTRE FOR GEOGENETICS,public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2019-03-27,2019-03-14,ERX3251201,Illumina HiSeq 2500,unspecified,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2019-03-28T00:00:00Z,SAMEA5408172,ERP114186,Botai_O_5500,ERC000011,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2019-03-27T17:05:16Z,2019-03-08T10:08:32Z,public,ERS3213482,ERS3213482,Botai_O_5500,51.0,62789.0,115172.0,0.0,0.0,,,,Botai_O_5500,CGG_1_020195,Copper Age,5500,Botai,53.303999999999995,67.646,Kazakhstan,horse,male
ERR3223739,WGS,PRJEB31613,SAMEA5408173,CENTRE FOR GEOGENETICS,public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2019-03-27,2019-03-14,ERX3251202,Illumina HiSeq 2500,unspecified,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2019-03-28T00:00:00Z,SAMEA5408173,ERP114186,Botai_T_5500,ERC000011,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2019-03-27T17:05:16Z,2019-03-08T10:08:32Z,public,ERS3213483,ERS3213483,Botai_T_5500,57.0,138854.0,146270.0,0.0,0.0,,,,Botai_T_5500,CGG_1_020200,Copper Age,5500,Botai,53.303999999999995,67.646,Kazakhstan,horse,female
ERR3223740,WGS,PRJEB31613,SAMEA5408174,CENTRE FOR GEOGENETICS,public,bam,ena,ena,2019-03-27,2019-03-14,ERX3251203,Illumina HiSeq 2500,unspecified,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2019-03-28T00:00:00Z,SAMEA5408174,ERP114186,Boves_GVA191_1717,ERC000011,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2019-03-27T17:05:16Z,2019-03-08T10:08:32Z,public,ERS3213484,ERS3213484,Boves_GVA191_1717,,,,,,,,,Boves_GVA191_1717,CGG_1_019765,Roman period,1617-1817,"Boves, chemin de Glisy",49.853,2.397,France,horse,female
ERR3223741,WGS,PRJEB31613,SAMEA5408175,CENTRE FOR GEOGENETICS,public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2019-03-27,2019-03-14,ERX3251204,Illumina HiSeq 2500,unspecified,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2019-03-28T00:00:00Z,SAMEA5408175,ERP114186,BozAdyr_KYRH10_1267,ERC000011,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2019-03-27T17:05:16Z,2019-03-08T10:08:32Z,public,ERS3213485,ERS3213485,BozAdyr_KYRH10_1267,66.0,1700594.0,797917.0,1.0,0.0,,,,BozAdyr_KYRH10_1267,CGG_1_018031,Middle Ages,1217,Boz-Adyr,39.998000000000005,71.07300000000001,Kyrgyzstan,horse,male
