Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study
SRR527807,WGS,198,6784873722,PRJNA169102,SAMN01057171,5127625094,SEOUL NATIONAL UNIVERSITY,public,sra,"s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX156081,Illumina HiSeq 2000,P00033F1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2013-07-02T00:00:00Z,P00033F1,SRP013860
SRR527809,WGS,197,25129092013,PRJNA169102,SAMN01057171,16766367073,SEOUL NATIONAL UNIVERSITY,public,sra,"gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX156081,Illumina HiSeq 2000,P00033F1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2013-07-02T00:00:00Z,P00033F1,SRP013860
SRR527825,WGS,197,4981632877,PRJNA169102,SAMN01057173,3274903993,SEOUL NATIONAL UNIVERSITY,public,sra,"s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX156083,Illumina HiSeq 2000,P06115M1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2013-07-02T00:00:00Z,P06115M1,SRP013860
SRR526907,WGS,198,5007239622,PRJNA169102,SAMN01057170,3310371910,SEOUL NATIONAL UNIVERSITY,public,sra,"s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX155594,Illumina HiSeq 2000,TG1117D1053,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2013-07-02T00:00:00Z,TG1117D1053,SRP013860
SRR526908,WGS,198,4042543824,PRJNA169102,SAMN01057170,2709619178,SEOUL NATIONAL UNIVERSITY,public,sra,"s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX155594,Illumina HiSeq 2000,TG1117D1053,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2013-07-02T00:00:00Z,TG1117D1053,SRP013860
SRR526909,WGS,198,4717164474,PRJNA169102,SAMN01057170,3154888555,SEOUL NATIONAL UNIVERSITY,public,sra,"ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX155594,Illumina HiSeq 2000,TG1117D1053,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2013-07-02T00:00:00Z,TG1117D1053,SRP013860
SRR527519,WGS,198,5155644582,PRJNA169102,SAMN01057173,3370053142,SEOUL NATIONAL UNIVERSITY,public,sra,"ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",SRX156083,Illumina HiSeq 2000,P06115M1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2013-07-02T00:00:00Z,P06115M1,SRP013860
SRR527520,WGS,198,4952870010,PRJNA169102,SAMN01057173,3247090046,SEOUL NATIONAL UNIVERSITY,public,sra,"s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX156083,Illumina HiSeq 2000,P06115M1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2013-07-02T00:00:00Z,P06115M1,SRP013860
SRR527521,WGS,198,4377493494,PRJNA169102,SAMN01057173,2879071366,SEOUL NATIONAL UNIVERSITY,public,sra,"ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX156083,Illumina HiSeq 2000,P06115M1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2013-07-02T00:00:00Z,P06115M1,SRP013860
SRR527527,WGS,198,5781239640,PRJNA169102,SAMN01057173,3775700077,SEOUL NATIONAL UNIVERSITY,public,sra,"s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX156083,Illumina HiSeq 2000,P06115M1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2013-07-02T00:00:00Z,P06115M1,SRP013860
SRR527528,WGS,198,4776330834,PRJNA169102,SAMN01057173,3145402992,SEOUL NATIONAL UNIVERSITY,public,sra,"gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX156083,Illumina HiSeq 2000,P06115M1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2013-07-02T00:00:00Z,P06115M1,SRP013860
SRR516104,WGS,198,2100549726,PRJNA169102,SAMN01057170,1409183944,SEOUL NATIONAL UNIVERSITY,public,sra,"ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX155594,Illumina HiSeq 2000,TG1117D1053,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2013-07-02T00:00:00Z,TG1117D1053,SRP013860
SRR571147,RNA-Seq,49,674879058,PRJNA169102,SAMN01178028,486294616,SEOUL NATIONAL UNIVERSITY VETERINARY MEDICINE,public,sra,"ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX187164,Illumina HiSeq 2000,,SINGLE,size fractionation,TRANSCRIPTOMIC,Equus caballus,ILLUMINA,2015-07-22T00:00:00Z,LIVER_3S,SRP013860
SRR525254,RNA-Seq,49,1065969912,PRJNA169102,SAMN01091906,702551020,SEOUL NATIONAL UNIVERSITY,public,sra,"ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX170338,Illumina HiSeq 2000,,SINGLE,size fractionation,TRANSCRIPTOMIC,Equus caballus,ILLUMINA,2015-07-22T00:00:00Z,korhorse,SRP013860
SRR525255,RNA-Seq,49,1108674735,PRJNA169102,SAMN01091906,732355469,SEOUL NATIONAL UNIVERSITY,public,sra,"ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX170339,Illumina HiSeq 2000,,SINGLE,size fractionation,TRANSCRIPTOMIC,Equus caballus,ILLUMINA,2015-07-22T00:00:00Z,korhorse,SRP013860
SRR525256,RNA-Seq,49,1252218716,PRJNA169102,SAMN01091906,838330603,SEOUL NATIONAL UNIVERSITY,public,sra,"s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX170340,Illumina HiSeq 2000,,SINGLE,size fractionation,TRANSCRIPTOMIC,Equus caballus,ILLUMINA,2015-07-22T00:00:00Z,korhorse,SRP013860
SRR571145,RNA-Seq,49,917204246,PRJNA169102,SAMN01178026,637656586,SEOUL NATIONAL UNIVERSITY VETERINARY MEDICINE,public,sra,"ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX187162,Illumina HiSeq 2000,,SINGLE,size fractionation,TRANSCRIPTOMIC,Equus caballus,ILLUMINA,2015-07-22T00:00:00Z,LIVER_1S,SRP013860
SRR571148,RNA-Seq,49,661403764,PRJNA169102,SAMN01178029,474479246,SEOUL NATIONAL UNIVERSITY VETERINARY MEDICINE,public,sra,"ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX187165,Illumina HiSeq 2000,,SINGLE,size fractionation,TRANSCRIPTOMIC,Equus caballus,ILLUMINA,2015-07-22T00:00:00Z,LIVER_4S,SRP013860
SRR571149,RNA-Seq,49,1068142474,PRJNA169102,SAMN01178030,630170455,SEOUL NATIONAL UNIVERSITY VETERINARY MEDICINE,public,sra,"s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX187166,Illumina HiSeq 2000,,SINGLE,size fractionation,TRANSCRIPTOMIC,Equus caballus,ILLUMINA,2015-07-22T00:00:00Z,MUSCLE_1S,SRP013860
SRR571150,RNA-Seq,49,960253735,PRJNA169102,SAMN01178031,583033307,SEOUL NATIONAL UNIVERSITY VETERINARY MEDICINE,public,sra,"s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX187167,Illumina HiSeq 2000,,SINGLE,size fractionation,TRANSCRIPTOMIC,Equus caballus,ILLUMINA,2015-07-22T00:00:00Z,MUSCLE_2S,SRP013860
SRR571151,RNA-Seq,49,866340237,PRJNA169102,SAMN01178032,525659238,SEOUL NATIONAL UNIVERSITY VETERINARY MEDICINE,public,sra,"gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX187168,Illumina HiSeq 2000,,PAIRED,size fractionation,TRANSCRIPTOMIC,Equus caballus,ILLUMINA,2015-07-22T00:00:00Z,MUSCLE_3S,SRP013860
SRR571152,RNA-Seq,49,923020056,PRJNA169102,SAMN01178033,549094116,SEOUL NATIONAL UNIVERSITY VETERINARY MEDICINE,public,sra,"gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX187169,Illumina HiSeq 2000,,PAIRED,size fractionation,TRANSCRIPTOMIC,Equus caballus,ILLUMINA,2015-07-22T00:00:00Z,MUSCLE_4S,SRP013860
SRR571153,RNA-Seq,49,500013836,PRJNA169102,SAMN01178034,511032999,SEOUL NATIONAL UNIVERSITY VETERINARY MEDICINE,public,sra,"s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX187171,Illumina HiSeq 2000,,SINGLE,size fractionation,TRANSCRIPTOMIC,Equus caballus,ILLUMINA,2015-07-22T00:00:00Z,COLON_1S,SRP013860
SRR571154,RNA-Seq,49,1070090861,PRJNA169102,SAMN01178035,758034338,SEOUL NATIONAL UNIVERSITY VETERINARY MEDICINE,public,sra,"gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX187172,Illumina HiSeq 2000,,SINGLE,size fractionation,TRANSCRIPTOMIC,Equus caballus,ILLUMINA,2015-07-22T00:00:00Z,COLON_2S,SRP013860
SRR571155,RNA-Seq,49,841506351,PRJNA169102,SAMN01178036,541102942,SEOUL NATIONAL UNIVERSITY VETERINARY MEDICINE,public,sra,"s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX187173,Illumina HiSeq 2000,,SINGLE,size fractionation,TRANSCRIPTOMIC,Equus caballus,ILLUMINA,2015-07-22T00:00:00Z,COLON_3S,SRP013860
SRR571156,RNA-Seq,49,586691700,PRJNA169102,SAMN01178037,419966472,SEOUL NATIONAL UNIVERSITY VETERINARY MEDICINE,public,sra,"s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX187174,Illumina HiSeq 2000,,SINGLE,size fractionation,TRANSCRIPTOMIC,Equus caballus,ILLUMINA,2015-07-22T00:00:00Z,COLON_4S,SRP013860
