Run,Assay Type,AssemblyName,BioProject,BioSample,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,Alias,AvgSpotLen,Bases,Bytes,ENA_CHECKLIST,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,sample_name,SRA_accession,title,Description,INSDC_center_alias,ENA-FIRST-PUBLIC,ENA-LAST-UPDATE
ERR1527968,WGS,GCF_000002305.2,PRJEB14779,SAMEA4075262,"INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2016-09-11,2018-11-16,ERX1598860,Illumina HiSeq 2500,unspecified,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2016-09-29T00:00:00Z,SAMEA4075262,ERP016448,QH070,299,90141437878,34548747263,ERC000011,UNIBE-IG,2016-09-11T17:01:23Z,2016-07-12T14:18:48Z,public,ERS1246372,ERS1246372,Quarter Horse,Quarter Horse - female,,,
ERR1527969,WGS,GCF_000002305.2,PRJEB14779,SAMEA4075263,"INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2016-09-11,2018-11-16,ERX1598861,Illumina HiSeq 2500,unspecified,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2016-09-29T00:00:00Z,SAMEA4075263,ERP016448,QH224,300,85760082343,36963374637,ERC000011,UNIBE-IG,2016-09-11T17:01:23Z,2016-07-12T14:18:48Z,public,ERS1246373,ERS1246373,Quarter Horse,Quarter Horse - male,,,
ERR1527971,WGS,GCF_000002305.2,PRJEB14779,SAMEA4075265,"INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2016-09-11,2018-11-16,ERX1598863,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2016-09-29T00:00:00Z,SAMEA4075265,ERP016448,FM0474,202,47963197342,25037821296,ERC000011,UNIBE-IG,2016-09-11T17:01:23Z,2016-07-12T14:18:48Z,public,ERS1246375,ERS1246375,Franches-Montagnes,Franches-Montagnes- male,,,
ERR1527972,WGS,GCF_000002305.2,PRJEB14779,SAMEA4075266,"INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2016-09-11,2018-11-16,ERX1598864,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2016-09-29T00:00:00Z,SAMEA4075266,ERP016448,SW024,202,31466223568,17045697503,ERC000011,UNIBE-IG,2016-09-11T17:01:23Z,2016-07-12T14:18:48Z,public,ERS1246376,ERS1246376,Swiss Warmblood,Swiss Warmblood - female,,,
ERR1545179,WGS,GCF_000002305.2,PRJEB14779,SAMEA4351922,"INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2016-09-11,2018-11-16,ERX1615949,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2016-09-29T00:00:00Z,SAMEA4351922,ERP016448,BY01,202,45919141566,22547214454,ERC000011,UNIBE-IG,2016-09-11T17:01:23Z,2016-07-22T07:11:52Z,public,ERS1263371,ERS1263371,German WarmBlood,German Warmblood,,,
ERR1545181,WGS,GCF_000002305.2,PRJEB14779,SAMEA4351924,"INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2016-09-11,2018-11-16,ERX1615951,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2016-09-29T00:00:00Z,SAMEA4351924,ERP016448,HOL01,202,53335457032,26064911487,ERC000011,UNIBE-IG,2016-09-11T17:01:23Z,2016-07-22T07:11:52Z,public,ERS1263373,ERS1263373,German WarmBlood,German Warmblood,,,
ERR1545184,WGS,GCA_000002305.1,PRJEB14779,SAMEA4351927,"INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2016-09-11,2018-11-16,ERX1615954,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2016-09-29T00:00:00Z,SAMEA4351927,ERP016448,OLD02,202,43896181458,21655331639,ERC000011,UNIBE-IG,2016-09-11T17:01:23Z,2016-07-22T07:11:52Z,public,ERS1263376,ERS1263376,German WarmBlood,German Warmblood,,,
ERR1545186,WGS,GCA_000002305.1,PRJEB14779,SAMEA4351930,"INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2016-09-11,2018-11-16,ERX1615956,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2016-09-29T00:00:00Z,SAMEA4351930,ERP016448,WF01,202,56179429778,27858659278,ERC000011,UNIBE-IG,2016-09-11T17:01:23Z,2016-07-22T07:11:52Z,public,ERS1263379,ERS1263379,German WarmBlood,German Warmblood,,,
ERR1545188,WGS,GCF_000002305.2,PRJEB14779,SAMEA4351933,"INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2016-09-11,2018-11-16,ERX1615958,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2016-09-29T00:00:00Z,SAMEA4351933,ERP016448,RAO310,260,111618441750,43023723079,ERC000011,UNIBE-IG,2016-09-11T17:01:23Z,2016-07-22T07:11:52Z,public,ERS1263382,ERS1263382,German WarmBlood,German Warmblood,,,
ERR1545190,WGS,GCF_000002305.2,PRJEB14779,SAMEA4351932,"INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2016-09-11,2018-11-16,ERX1615960,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2016-09-29T00:00:00Z,SAMEA4351932,ERP016448,P1,202,42030332304,22138054015,ERC000011,UNIBE-IG,2016-09-11T17:01:23Z,2016-07-22T07:11:52Z,public,ERS1263381,ERS1263381,German WarmBlood,German Warmblood,,,
ERR1735862,WGS,GCA_000002305.1,PRJEB14779,SAMEA4552432,"INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2016-11-16,2018-11-16,ERX1805697,Illumina HiSeq 2500,TB049_WGA-LIB,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2016-11-17T00:00:00Z,SAMEA4552432,ERP016448,TB049_WGA,300,80732195825,22118437170,ERC000011,UNIBE-IG,2016-11-16T17:02:46Z,2016-11-16T14:26:00Z,public,ERS1451611,ERS1451611,Vollblut - female,,,,
ERR1527947,WGS,GCF_000002305.2,PRJEB14779,SAMEA4075241,"INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2016-09-11,2018-11-16,ERX1598839,Illumina HiSeq 2500,unspecified,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2016-09-29T00:00:00Z,SAMEA4075241,ERP016448,AKT001,252,81208170540,23182599809,ERC000011,UNIBE-IG,2016-09-11T17:01:23Z,2016-07-12T14:18:48Z,public,ERS1246351,ERS1246351,Akhal-Teke,Akhal-Teke - male,,,
ERR1527948,WGS,GCF_000002305.2,PRJEB14779,SAMEA4075242,"INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2016-09-11,2018-11-16,ERX1598840,Illumina HiSeq 2500,unspecified,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2016-09-29T00:00:00Z,SAMEA4075242,ERP016448,AKT003,298,54441020613,17506994826,ERC000011,UNIBE-IG,2016-09-11T17:01:23Z,2016-07-12T14:18:48Z,public,ERS1246352,ERS1246352,Akhal-Teke,Akhal-Teke - female,,,
ERR1527949,WGS,GCF_000002305.2,PRJEB14779,SAMEA4075243,"INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2016-09-11,2018-11-16,ERX1598841,Illumina HiSeq 2500,unspecified,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2016-09-29T00:00:00Z,SAMEA4075243,ERP016448,AKT004,299,47971663672,15609445466,ERC000011,UNIBE-IG,2016-09-11T17:01:23Z,2016-07-12T14:18:48Z,public,ERS1246353,ERS1246353,Akhal-Teke,Akhal-Teke - male,,,
ERR1527951,WGS,GCF_000002305.2,PRJEB14779,SAMEA4075245,"INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2016-09-11,2018-11-16,ERX1598843,Illumina HiSeq 2500,unspecified,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2016-09-29T00:00:00Z,SAMEA4075245,ERP016448,AV145,299,76836450732,24506583888,ERC000011,UNIBE-IG,2016-09-11T17:01:23Z,2016-07-12T14:18:48Z,public,ERS1246355,ERS1246355,Arabian,Arabian - female,,,
ERR1527958,WGS,GCF_000002305.2,PRJEB14779,SAMEA4075252,"INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2016-09-11,2018-11-16,ERX1598850,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2016-09-29T00:00:00Z,SAMEA4075252,ERP016448,FM0673,202,51025991840,26867737150,ERC000011,UNIBE-IG,2016-09-11T17:01:23Z,2016-07-12T14:18:48Z,public,ERS1246362,ERS1246362,Franches-Montagnes,Franches-Montagnes - female,,,
ERR1527960,WGS,GCF_000002305.2,PRJEB14779,SAMEA4075254,"INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2016-09-11,2018-11-16,ERX1598852,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2016-09-29T00:00:00Z,SAMEA4075254,ERP016448,FM1178,190,13348372480,7419082141,ERC000011,UNIBE-IG,2016-09-11T17:01:23Z,2016-07-12T14:18:48Z,public,ERS1246364,ERS1246364,Franches-Montagnes,Franches-Montagnes - male,,,
ERR1527963,WGS,GCF_000002305.2,PRJEB14779,SAMEA4075257,"INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2016-09-11,2018-11-16,ERX1598855,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2016-09-29T00:00:00Z,SAMEA4075257,ERP016448,FM1369,202,40468429318,20578467951,ERC000011,UNIBE-IG,2016-09-11T17:01:23Z,2016-07-12T14:18:48Z,public,ERS1246367,ERS1246367,Franches-Montagnes,Franches-Montagnes - female,,,
ERR1527964,WGS,GCF_000002305.2,PRJEB14779,SAMEA4075258,"INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2016-09-11,2018-11-16,ERX1598856,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2016-09-29T00:00:00Z,SAMEA4075258,ERP016448,FM1435,202,38383526314,20003926153,ERC000011,UNIBE-IG,2016-09-11T17:01:23Z,2016-07-12T14:18:48Z,public,ERS1246368,ERS1246368,Franches-Montagnes,Franches-Montagnes- male,,,
ERR1527965,WGS,GCF_000002305.2,PRJEB14779,SAMEA4075259,"INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2016-09-11,2018-11-16,ERX1598857,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2016-09-29T00:00:00Z,SAMEA4075259,ERP016448,FM1459,202,41521850430,20575674093,ERC000011,UNIBE-IG,2016-09-11T17:01:23Z,2016-07-12T14:18:48Z,public,ERS1246369,ERS1246369,Franches-Montagnes,Franches-Montagnes - female,,,
ERR1527970,WGS,GCF_000002305.2,PRJEB14779,SAMEA4075264,"INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2016-09-11,2018-11-16,ERX1598862,Illumina HiSeq 2500,unspecified,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2016-09-29T00:00:00Z,SAMEA4075264,ERP016448,QH225,299,48153985988,18574328472,ERC000011,UNIBE-IG,2016-09-11T17:01:23Z,2016-07-12T14:18:48Z,public,ERS1246374,ERS1246374,Quarter Horse,Quarter Horse - male,,,
ERR1545178,WGS,GCF_000002305.2,PRJEB14779,SAMEA4351921,"INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2016-09-11,2018-11-16,ERX1615948,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2016-09-29T00:00:00Z,SAMEA4351921,ERP016448,BW01,202,45281582702,22466020843,ERC000011,UNIBE-IG,2016-09-11T17:01:23Z,2016-07-22T07:11:51Z,public,ERS1263370,ERS1263370,German WarmBlood,German Warmblood,,,
ERR1545180,WGS,GCF_000002305.2,PRJEB14779,SAMEA4351923,"INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2016-09-11,2018-11-16,ERX1615950,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2016-09-29T00:00:00Z,SAMEA4351923,ERP016448,HAN01,202,35293847636,17312518231,ERC000011,UNIBE-IG,2016-09-11T17:01:23Z,2016-07-22T07:11:52Z,public,ERS1263372,ERS1263372,German WarmBlood,German Warmblood,,,
ERR1545182,WGS,GCF_000002305.2,PRJEB14779,SAMEA4351925,"INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2016-09-11,2018-11-16,ERX1615952,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2016-09-29T00:00:00Z,SAMEA4351925,ERP016448,HOL02,202,33196328924,17078517569,ERC000011,UNIBE-IG,2016-09-11T17:01:23Z,2016-07-22T07:11:52Z,public,ERS1263374,ERS1263374,German WarmBlood,German Warmblood,,,
ERR1545183,WGS,GCA_000002305.1,PRJEB14779,SAMEA4351926,"INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2016-09-11,2018-11-16,ERX1615953,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2016-09-29T00:00:00Z,SAMEA4351926,ERP016448,OLD01,202,51953678254,25878921404,ERC000011,UNIBE-IG,2016-09-11T17:01:23Z,2016-07-22T07:11:52Z,public,ERS1263375,ERS1263375,German WarmBlood,German Warmblood,,,
ERR1545185,WGS,GCA_000002305.1,PRJEB14779,SAMEA4351928,"INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2016-09-11,2018-11-16,ERX1615955,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2016-09-29T00:00:00Z,SAMEA4351928,ERP016448,TRA01,202,37744735654,19599715772,ERC000011,UNIBE-IG,2016-09-11T17:01:23Z,2016-07-22T07:11:52Z,public,ERS1263377,ERS1263377,German WarmBlood,German Warmblood,,,
ERR1545187,WGS,GCF_000002305.2,PRJEB14779,SAMEA4351931,"INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2016-09-11,2018-11-16,ERX1615957,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2016-09-29T00:00:00Z,SAMEA4351931,ERP016448,WF02,202,43625361472,22583125445,ERC000011,UNIBE-IG,2016-09-11T17:01:23Z,2016-07-22T07:11:52Z,public,ERS1263380,ERS1263380,German WarmBlood,German Warmblood,,,
ERR1545189,WGS,GCF_000002305.2,PRJEB14779,SAMEA4351934,"INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2016-09-11,2018-11-16,ERX1615959,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2016-09-29T00:00:00Z,SAMEA4351934,ERP016448,RAO440,280,103726796158,33925351997,ERC000011,UNIBE-IG,2016-09-11T17:01:23Z,2016-07-22T07:11:52Z,public,ERS1263383,ERS1263383,German WarmBlood,German Warmblood,,,
ERR2731056,WGS,PJAA01,PRJEB14779,SAMEA4822839,"INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER",public,"sra,bam","ena,s3,gs,ncbi","ncbi.public,gs.US,ena,s3.us-east-1",2018-08-09,2018-11-16,ERX2744285,Illumina HiSeq 3000,unspecified,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2018-08-10T00:00:00Z,SAMEA4822839,ERP016448,SPH155,299,15673817866,1842293132,ERC000011,UNIBE-IG,2018-08-09T17:03:22Z,2018-08-09T07:09:14Z,public,ERS2642727,ERS2642727,Shetland Pony,Shetland Pony- female,,,
