Run,Alias,Assay Type,BioProject,BioSample,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA_CHECKLIST,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),Experiment,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sample_name,SRA_accession,SRA Study,title,AvgSpotLen,Bases,Bytes,MBases,MBytes
ERR1883360,BER10_K,Targeted-Capture,PRJEB20000,SAMEA103910519,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2017-04-28,2018-11-16,ERX1943861,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2017-04-28T17:01:34Z,2017-03-13T14:18:18Z,public,Illumina HiSeq 2500,Capture_E2_LO_L6_K2b_CTCTAG_U,SINGLE,other,GENOMIC,Equus caballus,ILLUMINA,2017-04-29T00:00:00Z,SAMEA103910519,ERS1599687,ERS1599687,ERP022101,BEREL,81,1943813538,869125563,1943,828
ERR1883361,BER12_M,Targeted-Capture,PRJEB20000,SAMEA103910521,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2017-04-28,2018-11-16,ERX1943862,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2017-04-28T17:01:34Z,2017-03-13T14:18:18Z,public,Illumina HiSeq 2500,Capture_E2_LO_L6_M2b_ATCACG_U,SINGLE,other,GENOMIC,Equus caballus,ILLUMINA,2017-04-29T00:00:00Z,SAMEA103910521,ERS1599689,ERS1599689,ERP022101,BEREL,81,700650000,324428662,700,309
ERR1883362,BER04_D,Targeted-Capture,PRJEB20000,SAMEA103910513,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2017-04-28,2018-11-16,ERX1943863,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2017-04-28T17:01:34Z,2017-03-13T14:18:17Z,public,Illumina HiSeq 2500,Capture_E2_NK_L5_D2c_GCAACG_U,SINGLE,other,GENOMIC,Equus caballus,ILLUMINA,2017-04-29T00:00:00Z,SAMEA103910513,ERS1599681,ERS1599681,ERP022101,BEREL,81,2677761261,1230791719,2677,1173
ERR1883363,BER05_E,Targeted-Capture,PRJEB20000,SAMEA103910514,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2017-04-28,2018-11-16,ERX1943864,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2017-04-28T17:01:34Z,2017-03-13T14:18:18Z,public,Illumina HiSeq 2500,Capture_E2_NK_L5_E2c_TGTCTG_U,SINGLE,other,GENOMIC,Equus caballus,ILLUMINA,2017-04-29T00:00:00Z,SAMEA103910514,ERS1599682,ERS1599682,ERP022101,BEREL,81,2121745104,965498265,2121,920
ERR1883364,BER07_G,Targeted-Capture,PRJEB20000,SAMEA103910516,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2017-04-28,2018-11-16,ERX1943865,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2017-04-28T17:01:34Z,2017-03-13T14:18:18Z,public,Illumina HiSeq 2500,Capture_E2_NK_L5_G2c_CACGAA_U,SINGLE,other,GENOMIC,Equus caballus,ILLUMINA,2017-04-29T00:00:00Z,SAMEA103910516,ERS1599684,ERS1599684,ERP022101,BEREL,81,2058136614,954256053,2058,910
ERR1883365,BER08_H,Targeted-Capture,PRJEB20000,SAMEA103910517,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2017-04-28,2018-11-16,ERX1943866,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2017-04-28T17:01:34Z,2017-03-13T14:18:18Z,public,Illumina HiSeq 2500,Capture_E2_NK_L5_H2c_ATCACG_U,SINGLE,other,GENOMIC,Equus caballus,ILLUMINA,2017-04-29T00:00:00Z,SAMEA103910517,ERS1599685,ERS1599685,ERP022101,BEREL,81,1019128716,454608399,1019,433
ERR1883366,I-K3_Arz2,Targeted-Capture,PRJEB20000,SAMEA103910523,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2017-04-28,2018-11-16,ERX1943867,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2017-04-28T17:01:34Z,2017-03-13T14:18:18Z,public,Illumina HiSeq 2500,Capture_E2_NK_L5_I-K3-ARZ2_c_CAGATC_U,SINGLE,other,GENOMIC,Equus caballus,ILLUMINA,2017-04-29T00:00:00Z,SAMEA103910523,ERS1599691,ERS1599691,ERP022101,BEREL,81,1494984438,687210865,1494,655
ERR1883367,BER11_L,Targeted-Capture,PRJEB20000,SAMEA103910520,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2017-04-28,2018-11-16,ERX1943868,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2017-04-28T17:01:34Z,2017-03-13T14:18:18Z,public,Illumina HiSeq 2500,Capture_E2_NK_L5_L2c_TGACCA_U,SINGLE,other,GENOMIC,Equus caballus,ILLUMINA,2017-04-29T00:00:00Z,SAMEA103910520,ERS1599688,ERS1599688,ERP022101,BEREL,81,1406607444,632732695,1406,603
ERR1883368,BER04_D,Targeted-Capture,PRJEB20000,SAMEA103910513,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2017-04-28,2018-11-16,ERX1943869,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2017-04-28T17:01:34Z,2017-03-13T14:18:17Z,public,Illumina HiSeq 2500,Capture_E2_NK_L6_D2d_ATCACG_U,SINGLE,other,GENOMIC,Equus caballus,ILLUMINA,2017-04-29T00:00:00Z,SAMEA103910513,ERS1599681,ERS1599681,ERP022101,BEREL,81,2324841345,1070714683,2324,1021
ERR1883369,BER05_E,Targeted-Capture,PRJEB20000,SAMEA103910514,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2017-04-28,2018-11-16,ERX1943870,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2017-04-28T17:01:34Z,2017-03-13T14:18:18Z,public,Illumina HiSeq 2500,Capture_E2_NK_L6_E2d_CGATGT_U,SINGLE,other,GENOMIC,Equus caballus,ILLUMINA,2017-04-29T00:00:00Z,SAMEA103910514,ERS1599682,ERS1599682,ERP022101,BEREL,81,2042006760,931691692,2042,888
ERR1883370,BER06_F,Targeted-Capture,PRJEB20000,SAMEA103910515,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2017-04-28,2018-11-16,ERX1943871,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2017-04-28T17:01:34Z,2017-03-13T14:18:18Z,public,Illumina HiSeq 2500,Capture_E2_NK_L6_F2c_CTCTAG_U,SINGLE,other,GENOMIC,Equus caballus,ILLUMINA,2017-04-29T00:00:00Z,SAMEA103910515,ERS1599683,ERS1599683,ERP022101,BEREL,81,2094941151,957896548,2094,913
ERR1883371,BER07_G,Targeted-Capture,PRJEB20000,SAMEA103910516,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2017-04-28,2018-11-16,ERX1943872,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2017-04-28T17:01:34Z,2017-03-13T14:18:18Z,public,Illumina HiSeq 2500,Capture_E2_NK_L6_G2d_TGACCA_U,SINGLE,other,GENOMIC,Equus caballus,ILLUMINA,2017-04-29T00:00:00Z,SAMEA103910516,ERS1599684,ERS1599684,ERP022101,BEREL,81,1785882249,831082319,1785,792
ERR1883372,BER08_H,Targeted-Capture,PRJEB20000,SAMEA103910517,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2017-04-28,2018-11-16,ERX1943873,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2017-04-28T17:01:34Z,2017-03-13T14:18:18Z,public,Illumina HiSeq 2500,Capture_E2_NK_L6_H2d_ACAGTG_U,SINGLE,other,GENOMIC,Equus caballus,ILLUMINA,2017-04-29T00:00:00Z,SAMEA103910517,ERS1599685,ERS1599685,ERP022101,BEREL,81,905861556,404059356,905,385
ERR1883373,I-K3_Arz2,Targeted-Capture,PRJEB20000,SAMEA103910523,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2017-04-28,2018-11-16,ERX1943874,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2017-04-28T17:01:34Z,2017-03-13T14:18:18Z,public,Illumina HiSeq 2500,Capture_E2_NK_L6_I-K3-ARZ2_d_GGCTAC_U,SINGLE,other,GENOMIC,Equus caballus,ILLUMINA,2017-04-29T00:00:00Z,SAMEA103910523,ERS1599691,ERS1599691,ERP022101,BEREL,81,1217513187,563429622,1217,537
ERR1883374,BER11_L,Targeted-Capture,PRJEB20000,SAMEA103910520,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2017-04-28,2018-11-16,ERX1943875,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2017-04-28T17:01:34Z,2017-03-13T14:18:18Z,public,Illumina HiSeq 2500,Capture_E2_NK_L6_L2d_ACTTGA_U,SINGLE,other,GENOMIC,Equus caballus,ILLUMINA,2017-04-29T00:00:00Z,SAMEA103910520,ERS1599688,ERS1599688,ERP022101,BEREL,81,1584690642,710506888,1584,677
ERR1883375,I-K2_Arz1,Targeted-Capture,PRJEB20000,SAMEA103910522,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2017-04-28,2018-11-16,ERX1943876,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2017-04-28T17:01:34Z,2017-03-13T14:18:18Z,public,Illumina HiSeq 2500,Capture_E2_NK_L7_CAP_ARZ1_2c_GCCAAT_U,SINGLE,other,GENOMIC,Equus caballus,ILLUMINA,2017-04-29T00:00:00Z,SAMEA103910522,ERS1599690,ERS1599690,ERP022101,BEREL,81,578167146,266888061,578,254
ERR1883376,BER06_F,Targeted-Capture,PRJEB20000,SAMEA103910515,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2017-04-28,2018-11-16,ERX1943877,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2017-04-28T17:01:34Z,2017-03-13T14:18:18Z,public,Illumina HiSeq 2500,Capture_E2_NK_L7_F2d_TTAGGC_U,SINGLE,other,GENOMIC,Equus caballus,ILLUMINA,2017-04-29T00:00:00Z,SAMEA103910515,ERS1599683,ERS1599683,ERP022101,BEREL,81,1936613367,889327512,1936,848
ERR1883378,BER10_K,Targeted-Capture,PRJEB20000,SAMEA103910519,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2017-04-28,2018-11-16,ERX1943879,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2017-04-28T17:01:34Z,2017-03-13T14:18:18Z,public,Illumina HiSeq 2500,Capture_E2_NK_L7_K2c_TTAGGC_U,SINGLE,other,GENOMIC,Equus caballus,ILLUMINA,2017-04-29T00:00:00Z,SAMEA103910519,ERS1599687,ERS1599687,ERP022101,BEREL,81,310102830,140897427,310,134
ERR1883379,BER12_M,Targeted-Capture,PRJEB20000,SAMEA103910521,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2017-04-28,2018-11-16,ERX1943880,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2017-04-28T17:01:34Z,2017-03-13T14:18:18Z,public,Illumina HiSeq 2500,Capture_E2_NK_L7_M2c_ACAGTG_U,SINGLE,other,GENOMIC,Equus caballus,ILLUMINA,2017-04-29T00:00:00Z,SAMEA103910521,ERS1599689,ERS1599689,ERP022101,BEREL,81,1488179628,687976927,1488,656
ERR1883380,I-K2_Arz1,Targeted-Capture,PRJEB20000,SAMEA103910522,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2017-04-28,2018-11-16,ERX1943881,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2017-04-28T17:01:34Z,2017-03-13T14:18:18Z,public,Illumina HiSeq 2500,Capture_E2_NK_L8_CAP_ARZ1_2d_TAGCTT_U,SINGLE,other,GENOMIC,Equus caballus,ILLUMINA,2017-04-29T00:00:00Z,SAMEA103910522,ERS1599690,ERS1599690,ERP022101,BEREL,81,612988722,282840992,612,269
