Run,Assay Type,BioProject,BioSample,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,Alias,ENA_CHECKLIST,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,sample_name,SRA_accession,title,AvgSpotLen,Bases,Bytes,MBases,MBytes,AssemblyName,ENA-FIRST-PUBLIC,ENA-LAST-UPDATE
ERR3223719,WGS,PRJEB31613,SAMEA5408153,CENTRE FOR GEOGENETICS,public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2019-03-27,2019-03-14,ERX3251182,Illumina HiSeq 2500,unspecified,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2019-03-28T00:00:00Z,SAMEA5408153,ERP114186,AugustaRaurica_JG160_1817,ERC000011,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2019-03-27T17:05:16Z,2019-03-08T10:08:32Z,public,ERS3213463,ERS3213463,AugustaRaurica_JG160_1817,60,1825818,995464,1,0,,,
ERR3223720,WGS,PRJEB31613,SAMEA5408154,CENTRE FOR GEOGENETICS,public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2019-03-27,2019-03-14,ERX3251183,Illumina HiSeq 2500,unspecified,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2019-03-28T00:00:00Z,SAMEA5408154,ERP114186,AugustaRauricaSchmidmatt_NBxK9279_1717,ERC000011,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2019-03-27T17:05:16Z,2019-03-08T10:08:32Z,public,ERS3213464,ERS3213464,AugustaRauricaSchmidmatt_NBxK9279_1717,55,9340,87652,0,0,,,
ERR3223721,WGS,PRJEB31613,SAMEA5408155,CENTRE FOR GEOGENETICS,public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2019-03-27,2019-03-14,ERX3251184,Illumina HiSeq 2500,unspecified,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2019-03-28T00:00:00Z,SAMEA5408155,ERP114186,AugustaRauricaSchmidmatt_NBxP9261_1782,ERC000011,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2019-03-27T17:05:16Z,2019-03-08T10:08:32Z,public,ERS3213465,ERS3213465,AugustaRauricaSchmidmatt_NBxP9261_1782,48,18029,93058,0,0,,,
ERR3223722,WGS,PRJEB31613,SAMEA5408156,CENTRE FOR GEOGENETICS,public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2019-03-27,2019-03-14,ERX3251185,Illumina HiSeq 2500,unspecified,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2019-03-28T00:00:00Z,SAMEA5408156,ERP114186,Balagansk_Rus19_2017,ERC000011,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2019-03-27T17:05:16Z,2019-03-08T10:08:32Z,public,ERS3213466,ERS3213466,Balagansk_Rus19_2017,60,173836,165724,0,0,,,
ERR3223723,WGS,PRJEB31613,SAMEA5408157,CENTRE FOR GEOGENETICS,public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2019-03-27,2019-03-14,ERX3251186,Illumina HiSeq 2500,unspecified,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2019-03-28T00:00:00Z,SAMEA5408157,ERP114186,BapskaGradac_BAPSKA_1305,ERC000011,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2019-03-27T17:05:16Z,2019-03-08T10:08:32Z,public,ERS3213467,ERS3213467,BapskaGradac_BAPSKA_1305,57,24636,99857,0,0,,,
ERR3223724,WGS,PRJEB31613,SAMEA5408158,CENTRE FOR GEOGENETICS,public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2019-03-27,2019-03-14,ERX3251187,Illumina HiSeq 2500,unspecified,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2019-03-28T00:00:00Z,SAMEA5408158,ERP114186,Bateni_Rus16_3350,ERC000011,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2019-03-27T17:05:16Z,2019-03-08T10:08:32Z,public,ERS3213468,ERS3213468,Bateni_Rus16_3350,66,6135583,2669481,6,2,,,
ERR3223725,WGS,PRJEB31613,SAMEA5408159,CENTRE FOR GEOGENETICS,public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2019-03-27,2019-03-14,ERX3251188,Illumina HiSeq 2500,unspecified,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2019-03-28T00:00:00Z,SAMEA5408159,ERP114186,Beauvais_GVA122_417,ERC000011,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2019-03-27T17:05:16Z,2019-03-08T10:08:32Z,public,ERS3213469,ERS3213469,Beauvais_GVA122_417,63,776787,452210,0,0,,,
ERR3223726,WGS,PRJEB31613,SAMEA5408160,CENTRE FOR GEOGENETICS,public,bam,ena,ena,2019-03-27,2019-03-14,ERX3251189,Illumina HiSeq 2500,unspecified,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2019-03-28T00:00:00Z,SAMEA5408160,ERP114186,Beauvais_GVA375_467,ERC000011,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2019-03-27T17:05:16Z,2019-03-08T10:08:32Z,public,ERS3213470,ERS3213470,Beauvais_GVA375_467,,,,,,,,
ERR3223727,WGS,PRJEB31613,SAMEA5408161,CENTRE FOR GEOGENETICS,public,bam,ena,ena,2019-03-27,2019-03-14,ERX3251190,Illumina HiSeq 2500,unspecified,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2019-03-28T00:00:00Z,SAMEA5408161,ERP114186,Belgheis_TrBWBX116_485,ERC000011,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2019-03-27T17:05:16Z,2019-03-08T10:08:32Z,public,ERS3213471,ERS3213471,Belgheis_TrBWBX116_485,,,,,,,,
ERR3223728,WGS,PRJEB31613,SAMEA5408162,CENTRE FOR GEOGENETICS,public,bam,ena,ena,2019-03-27,2019-03-14,ERX3251191,Illumina HiSeq 2500,unspecified,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2019-03-28T00:00:00Z,SAMEA5408162,ERP114186,Belkaragay_NB13_CopperAge,ERC000011,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2019-03-27T17:05:16Z,2019-03-08T10:08:32Z,public,ERS3213472,ERS3213472,Belkaragay_NB13_CopperAge,,,,,,,,
ERR3223729,WGS,PRJEB31613,SAMEA5408163,CENTRE FOR GEOGENETICS,public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2019-03-27,2019-03-14,ERX3251192,Illumina HiSeq 2500,unspecified,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2019-03-28T00:00:00Z,SAMEA5408163,ERP114186,Belkaragay_NB15_CopperAge,ERC000011,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2019-03-27T17:05:16Z,2019-03-08T10:08:32Z,public,ERS3213473,ERS3213473,Belkaragay_NB15_CopperAge,49,703980,436206,0,0,,,
ERR3223730,WGS,PRJEB31613,SAMEA5408164,CENTRE FOR GEOGENETICS,public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2019-03-27,2019-03-14,ERX3251193,Illumina HiSeq 2500,unspecified,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2019-03-28T00:00:00Z,SAMEA5408164,ERP114186,Berufjordur_VHR102_1057,ERC000011,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2019-03-27T17:05:16Z,2019-03-08T10:08:32Z,public,ERS3213474,ERS3213474,Berufjordur_VHR102_1057,58,368614,270474,0,0,,,
ERR3223731,WGS,PRJEB31613,SAMEA5408165,CENTRE FOR GEOGENETICS,public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2019-03-27,2019-03-14,ERX3251194,Illumina HiSeq 2500,unspecified,SINGLE,RANDOM,GENOMIC,Equus asinus,ILLUMINA,2019-03-28T00:00:00Z,SAMEA5408165,ERP114186,Boinville_GVA125_1817,ERC000011,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2019-03-27T17:05:16Z,2019-03-08T11:09:38Z,public,ERS3213475,ERS3213475,Boinville_GVA125_1817,55,61022,125950,0,0,,,
ERR3223732,WGS,PRJEB31613,SAMEA5408166,CENTRE FOR GEOGENETICS,public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2019-03-27,2019-03-14,ERX3251195,Illumina HiSeq 2500,unspecified,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2019-03-28T00:00:00Z,SAMEA5408166,ERP114186,Botai_A_5500,ERC000011,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2019-03-27T17:05:16Z,2019-03-08T10:08:32Z,public,ERS3213476,ERS3213476,Botai_A_5500,57,383893,272820,0,0,,,
ERR3223733,WGS,PRJEB31613,SAMEA5408167,CENTRE FOR GEOGENETICS,public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2019-03-27,2019-03-14,ERX3251196,Illumina HiSeq 2500,unspecified,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2019-03-28T00:00:00Z,SAMEA5408167,ERP114186,Botai_B_5500,ERC000011,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2019-03-27T17:05:16Z,2019-03-08T10:08:32Z,public,ERS3213477,ERS3213477,Botai_B_5500,55,1312722,737569,1,0,,,
ERR3223734,WGS,PRJEB31613,SAMEA5408168,CENTRE FOR GEOGENETICS,public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2019-03-27,2019-03-14,ERX3251197,Illumina HiSeq 2500,unspecified,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2019-03-28T00:00:00Z,SAMEA5408168,ERP114186,Botai_D2_5500,ERC000011,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2019-03-27T17:05:16Z,2019-03-08T10:08:32Z,public,ERS3213478,ERS3213478,Botai_D2_5500,52,24252,95781,0,0,,,
ERR3223735,WGS,PRJEB31613,SAMEA5408169,CENTRE FOR GEOGENETICS,public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2019-03-27,2019-03-14,ERX3251198,Illumina HiSeq 2500,unspecified,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2019-03-28T00:00:00Z,SAMEA5408169,ERP114186,Botai_E_5500,ERC000011,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2019-03-27T17:05:16Z,2019-03-08T10:08:32Z,public,ERS3213479,ERS3213479,Botai_E_5500,53,87440,127240,0,0,,,
ERR3223736,WGS,PRJEB31613,SAMEA5408170,CENTRE FOR GEOGENETICS,public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2019-03-27,2019-03-14,ERX3251199,Illumina HiSeq 2500,unspecified,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2019-03-28T00:00:00Z,SAMEA5408170,ERP114186,Botai_N_5500,ERC000011,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2019-03-27T17:05:16Z,2019-03-08T10:08:32Z,public,ERS3213480,ERS3213480,Botai_N_5500,52,59565,113677,0,0,,,
ERR3223737,WGS,PRJEB31613,SAMEA5408171,CENTRE FOR GEOGENETICS,public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2019-03-27,2019-03-14,ERX3251200,Illumina HiSeq 2500,unspecified,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2019-03-28T00:00:00Z,SAMEA5408171,ERP114186,Botai_NB18_4692,ERC000011,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2019-03-27T17:05:16Z,2019-03-08T10:08:32Z,public,ERS3213481,ERS3213481,Botai_NB18_4692,52,63938,124992,0,0,,,
ERR3223738,WGS,PRJEB31613,SAMEA5408172,CENTRE FOR GEOGENETICS,public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2019-03-27,2019-03-14,ERX3251201,Illumina HiSeq 2500,unspecified,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2019-03-28T00:00:00Z,SAMEA5408172,ERP114186,Botai_O_5500,ERC000011,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2019-03-27T17:05:16Z,2019-03-08T10:08:32Z,public,ERS3213482,ERS3213482,Botai_O_5500,51,62789,115172,0,0,,,
ERR3223739,WGS,PRJEB31613,SAMEA5408173,CENTRE FOR GEOGENETICS,public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2019-03-27,2019-03-14,ERX3251202,Illumina HiSeq 2500,unspecified,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2019-03-28T00:00:00Z,SAMEA5408173,ERP114186,Botai_T_5500,ERC000011,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2019-03-27T17:05:16Z,2019-03-08T10:08:32Z,public,ERS3213483,ERS3213483,Botai_T_5500,57,138854,146270,0,0,,,
ERR3223740,WGS,PRJEB31613,SAMEA5408174,CENTRE FOR GEOGENETICS,public,bam,ena,ena,2019-03-27,2019-03-14,ERX3251203,Illumina HiSeq 2500,unspecified,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2019-03-28T00:00:00Z,SAMEA5408174,ERP114186,Boves_GVA191_1717,ERC000011,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2019-03-27T17:05:16Z,2019-03-08T10:08:32Z,public,ERS3213484,ERS3213484,Boves_GVA191_1717,,,,,,,,
ERR3223741,WGS,PRJEB31613,SAMEA5408175,CENTRE FOR GEOGENETICS,public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2019-03-27,2019-03-14,ERX3251204,Illumina HiSeq 2500,unspecified,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2019-03-28T00:00:00Z,SAMEA5408175,ERP114186,BozAdyr_KYRH10_1267,ERC000011,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2019-03-27T17:05:16Z,2019-03-08T10:08:32Z,public,ERS3213485,ERS3213485,BozAdyr_KYRH10_1267,66,1700594,797917,1,0,,,
ERR3223742,WGS,PRJEB31613,SAMEA5408176,CENTRE FOR GEOGENETICS,public,bam,ena,ena,2019-03-27,2019-03-14,ERX3251205,Illumina HiSeq 2500,unspecified,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2019-03-28T00:00:00Z,SAMEA5408176,ERP114186,BozAdyr_KYRH8_1267,ERC000011,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2019-03-27T17:05:16Z,2019-03-08T10:08:33Z,public,ERS3213486,ERS3213486,BozAdyr_KYRH8_1267,,,,,,,,
ERR3223743,WGS,PRJEB31613,SAMEA5408177,CENTRE FOR GEOGENETICS,public,bam,ena,ena,2019-03-27,2019-03-14,ERX3251206,Illumina HiSeq 2500,unspecified,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2019-03-28T00:00:00Z,SAMEA5408177,ERP114186,BroughOfDeerness_VHR010_1417,ERC000011,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2019-03-27T17:05:16Z,2019-03-08T10:08:33Z,public,ERS3213487,ERS3213487,BroughOfDeerness_VHR010_1417,,,,,,,,
ERR3223744,WGS,PRJEB31613,SAMEA5408178,CENTRE FOR GEOGENETICS,public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2019-03-27,2019-03-14,ERX3251207,Illumina HiSeq 2500,unspecified,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2019-03-28T00:00:00Z,SAMEA5408178,ERP114186,BroughOfDeerness_VHR011_1367,ERC000011,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2019-03-27T17:05:16Z,2019-03-08T10:08:33Z,public,ERS3213488,ERS3213488,BroughOfDeerness_VHR011_1367,67,588613,360803,0,0,,,
ERR3223745,WGS,PRJEB31613,SAMEA5408179,CENTRE FOR GEOGENETICS,public,bam,ena,ena,2019-03-27,2019-03-14,ERX3251208,Illumina HiSeq 2500,unspecified,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2019-03-28T00:00:00Z,SAMEA5408179,ERP114186,BroughOfDeerness_VHR037_1417,ERC000011,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2019-03-27T17:05:16Z,2019-03-08T10:08:33Z,public,ERS3213489,ERS3213489,BroughOfDeerness_VHR037_1417,,,,,,,,
ERR3223746,WGS,PRJEB31613,SAMEA5408180,CENTRE FOR GEOGENETICS,public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2019-03-27,2019-03-14,ERX3251209,Illumina HiSeq 2500,unspecified,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2019-03-28T00:00:00Z,SAMEA5408180,ERP114186,BroughOfDeerness_VHR062_1417,ERC000011,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2019-03-27T17:05:16Z,2019-03-08T10:08:33Z,public,ERS3213490,ERS3213490,BroughOfDeerness_VHR062_1417,67,534220,323608,0,0,,,
ERR3223747,WGS,PRJEB31613,SAMEA5408181,CENTRE FOR GEOGENETICS,public,bam,ena,ena,2019-03-27,2019-03-14,ERX3251210,Illumina HiSeq 2500,unspecified,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2019-03-28T00:00:00Z,SAMEA5408181,ERP114186,Bruszcewo_Bru4_3917,ERC000011,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2019-03-27T17:05:16Z,2019-03-08T10:08:33Z,public,ERS3213491,ERS3213491,Bruszcewo_Bru4_3917,,,,,,,,
ERR3223748,WGS,PRJEB31613,SAMEA5408182,CENTRE FOR GEOGENETICS,public,bam,ena,ena,2019-03-27,2019-03-14,ERX3251211,Illumina HiSeq 2500,unspecified,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2019-03-28T00:00:00Z,SAMEA5408182,ERP114186,CaminoDeLasYeseras_CdY2_4678,ERC000011,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2019-03-27T17:05:16Z,2019-03-08T10:08:33Z,public,ERS3213492,ERS3213492,CaminoDeLasYeseras_CdY2_4678,,,,,,,,
ERR3223749,WGS,PRJEB31613,SAMEA5408183,CENTRE FOR GEOGENETICS,public,bam,ena,ena,2019-03-27,2019-03-14,ERX3251212,Illumina HiSeq 2500,unspecified,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2019-03-28T00:00:00Z,SAMEA5408183,ERP114186,Cantorella_UE2275x2_4791,ERC000011,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2019-03-27T17:05:16Z,2019-03-08T10:08:33Z,public,ERS3213493,ERS3213493,Cantorella_UE2275x2_4791,,,,,,,,
